converted_date,.geo,LST_AVE
2024-02-01,"{""type"":""MultiPoint"",""coordinates"":[]}",14837
2023-08-26,"{""type"":""MultiPoint"",""coordinates"":[]}",14838
2023-11-02,"{""type"":""MultiPoint"",""coordinates"":[]}",14839
2022-06-02,"{""type"":""MultiPoint"",""coordinates"":[]}",14840
2022-01-25,"{""type"":""MultiPoint"",""coordinates"":[]}",14842
2023-12-02,"{""type"":""MultiPoint"",""coordinates"":[]}",14843
2022-12-17,"{""type"":""MultiPoint"",""coordinates"":[]}",14844
2023-11-09,"{""type"":""MultiPoint"",""coordinates"":[]}",14845
2023-11-10,"{""type"":""MultiPoint"",""coordinates"":[]}",14846
2023-01-20,"{""type"":""MultiPoint"",""coordinates"":[]}",14847
2022-11-19,"{""type"":""MultiPoint"",""coordinates"":[]}",14849
2024-08-04,"{""type"":""MultiPoint"",""coordinates"":[]}",14850
2023-11-13,"{""type"":""MultiPoint"",""coordinates"":[]}",14852
2022-05-18,"{""type"":""MultiPoint"",""coordinates"":[]}",14854
2023-12-17,"{""type"":""MultiPoint"",""coordinates"":[]}",14855
2022-01-07,"{""type"":""MultiPoint"",""coordinates"":[]}",14858
2023-12-22,"{""type"":""MultiPoint"",""coordinates"":[]}",14860
2022-05-18,"{""type"":""MultiPoint"",""coordinates"":[]}",14861
2022-10-24,"{""type"":""MultiPoint"",""coordinates"":[]}",14862
2023-02-03,"{""type"":""MultiPoint"",""coordinates"":[]}",14863
2022-12-24,"{""type"":""MultiPoint"",""coordinates"":[]}",14864
2022-06-25,"{""type"":""MultiPoint"",""coordinates"":[]}",14866
2024-01-02,"{""type"":""MultiPoint"",""coordinates"":[]}",14868
2021-12-18,"{""type"":""MultiPoint"",""coordinates"":[]}",14869
2023-01-07,"{""type"":""MultiPoint"",""coordinates"":[]}",14873
2022-06-17,"{""type"":""MultiPoint"",""coordinates"":[]}",14877
2022-03-15,"{""type"":""MultiPoint"",""coordinates"":[]}",14878
2023-12-06,"{""type"":""MultiPoint"",""coordinates"":[]}",14879
2022-01-07,"{""type"":""MultiPoint"",""coordinates"":[]}",14880
2023-12-14,"{""type"":""MultiPoint"",""coordinates"":[]}",14881
2022-12-23,"{""type"":""MultiPoint"",""coordinates"":[]}",14882
2023-10-14,"{""type"":""MultiPoint"",""coordinates"":[]}",14883
2022-10-24,"{""type"":""MultiPoint"",""coordinates"":[]}",14885
2022-10-20,"{""type"":""MultiPoint"",""coordinates"":[]}",14887
2022-06-26,"{""type"":""MultiPoint"",""coordinates"":[]}",14888
2022-01-07,"{""type"":""MultiPoint"",""coordinates"":[]}",14890
2021-12-03,"{""type"":""MultiPoint"",""coordinates"":[]}",14891
2021-12-14,"{""type"":""MultiPoint"",""coordinates"":[]}",14892
2023-12-25,"{""type"":""MultiPoint"",""coordinates"":[]}",14895
2022-02-05,"{""type"":""MultiPoint"",""coordinates"":[]}",14896
2022-10-24,"{""type"":""MultiPoint"",""coordinates"":[]}",14897
2023-12-13,"{""type"":""MultiPoint"",""coordinates"":[]}",14899
2022-02-05,"{""type"":""MultiPoint"",""coordinates"":[]}",14901
2022-10-17,"{""type"":""MultiPoint"",""coordinates"":[]}",14902
2023-11-17,"{""type"":""MultiPoint"",""coordinates"":[]}",14903
2023-08-26,"{""type"":""MultiPoint"",""coordinates"":[]}",14904
2023-01-07,"{""type"":""MultiPoint"",""coordinates"":[]}",14906
2022-02-06,"{""type"":""MultiPoint"",""coordinates"":[]}",14907
2022-05-14,"{""type"":""MultiPoint"",""coordinates"":[]}",14908
2021-12-14,"{""type"":""MultiPoint"",""coordinates"":[]}",14909
2023-12-13,"{""type"":""MultiPoint"",""coordinates"":[]}",14910
2021-12-14,"{""type"":""MultiPoint"",""coordinates"":[]}",14911
2024-09-29,"{""type"":""MultiPoint"",""coordinates"":[]}",14913
2023-11-25,"{""type"":""MultiPoint"",""coordinates"":[]}",14914
2022-12-23,"{""type"":""MultiPoint"",""coordinates"":[]}",14915
2022-11-24,"{""type"":""MultiPoint"",""coordinates"":[]}",14916
2024-07-12,"{""type"":""MultiPoint"",""coordinates"":[]}",14917
2023-01-20,"{""type"":""MultiPoint"",""coordinates"":[]}",14918
2022-01-29,"{""type"":""MultiPoint"",""coordinates"":[]}",14919
2023-11-09,"{""type"":""MultiPoint"",""coordinates"":[]}",14920
2022-10-13,"{""type"":""MultiPoint"",""coordinates"":[]}",14921
2023-02-03,"{""type"":""MultiPoint"",""coordinates"":[]}",14922
2024-06-05,"{""type"":""MultiPoint"",""coordinates"":[]}",14923
2022-02-05,"{""type"":""MultiPoint"",""coordinates"":[]}",14927
2021-12-03,"{""type"":""MultiPoint"",""coordinates"":[]}",14929
2022-08-24,"{""type"":""MultiPoint"",""coordinates"":[]}",14930
2022-01-29,"{""type"":""MultiPoint"",""coordinates"":[]}",14931
2023-09-03,"{""type"":""MultiPoint"",""coordinates"":[]}",14933
2024-01-20,"{""type"":""MultiPoint"",""coordinates"":[]}",14935
2023-12-13,"{""type"":""MultiPoint"",""coordinates"":[]}",14936
2023-08-22,"{""type"":""MultiPoint"",""coordinates"":[]}",14937
2022-03-15,"{""type"":""MultiPoint"",""coordinates"":[]}",14938
2023-10-14,"{""type"":""MultiPoint"",""coordinates"":[]}",14939
2024-08-08,"{""type"":""MultiPoint"",""coordinates"":[]}",14940
2023-12-25,"{""type"":""MultiPoint"",""coordinates"":[]}",14942
2022-05-14,"{""type"":""MultiPoint"",""coordinates"":[]}",14944
2024-02-01,"{""type"":""MultiPoint"",""coordinates"":[]}",14945
2022-11-27,"{""type"":""MultiPoint"",""coordinates"":[]}",14946
2021-12-03,"{""type"":""MultiPoint"",""coordinates"":[]}",14947
2022-05-15,"{""type"":""MultiPoint"",""coordinates"":[]}",14948
2022-10-24,"{""type"":""MultiPoint"",""coordinates"":[]}",14949
2021-11-30,"{""type"":""MultiPoint"",""coordinates"":[]}",14950
2021-12-14,"{""type"":""MultiPoint"",""coordinates"":[]}",14951
2022-01-25,"{""type"":""MultiPoint"",""coordinates"":[]}",14952
2022-12-24,"{""type"":""MultiPoint"",""coordinates"":[]}",14953
2023-08-26,"{""type"":""MultiPoint"",""coordinates"":[]}",14955
2022-04-14,"{""type"":""MultiPoint"",""coordinates"":[]}",14956
2022-06-18,"{""type"":""MultiPoint"",""coordinates"":[]}",14957
2022-01-18,"{""type"":""MultiPoint"",""coordinates"":[]}",14959
2022-02-05,"{""type"":""MultiPoint"",""coordinates"":[]}",14960
2022-02-05,"{""type"":""MultiPoint"",""coordinates"":[]}",14961
2023-03-20,"{""type"":""MultiPoint"",""coordinates"":[]}",14962
2022-01-07,"{""type"":""MultiPoint"",""coordinates"":[]}",14964
2022-10-09,"{""type"":""MultiPoint"",""coordinates"":[]}",14965
2022-01-02,"{""type"":""MultiPoint"",""coordinates"":[]}",14967
2022-01-25,"{""type"":""MultiPoint"",""coordinates"":[]}",14968
2022-01-29,"{""type"":""MultiPoint"",""coordinates"":[]}",14969
2023-03-09,"{""type"":""MultiPoint"",""coordinates"":[]}",14970
2022-01-18,"{""type"":""MultiPoint"",""coordinates"":[]}",14972
2022-06-26,"{""type"":""MultiPoint"",""coordinates"":[]}",14973
2022-01-07,"{""type"":""MultiPoint"",""coordinates"":[]}",14974
2022-07-26,"{""type"":""MultiPoint"",""coordinates"":[]}",14975
